uri,id,name,owner,total
spotify:playlist:6jOI30RJjxbQOSVOYGQjXc,6jOI30RJjxbQOSVOYGQjXc,blueprints,Jordan Shand,83
spotify:playlist:2tbrbhJAxepwSK9CorFhWd,2tbrbhJAxepwSK9CorFhWd,hundohp,Jordan Shand,168
spotify:playlist:0110lNaeSiWv1ygsWZeTyT,0110lNaeSiWv1ygsWZeTyT,rockybrocky,Jordan Shand,55
spotify:playlist:0AUptlDKSJYWBS0lf4aVxQ,0AUptlDKSJYWBS0lf4aVxQ,topdawg,Jordan Shand,114
spotify:playlist:3fu8a947YLoLrapAsRSfoj,3fu8a947YLoLrapAsRSfoj,dreamers,Jordan Shand,44
spotify:playlist:3thlrGI9pIe6CHvFLZ1rit,3thlrGI9pIe6CHvFLZ1rit,I’m Jawn Morgan,August Williams,49
spotify:playlist:28luRQK8fE6P0LHc4kKVYJ,28luRQK8fE6P0LHc4kKVYJ,Let's eat a W,Zach Becker,205
spotify:playlist:0TAIXFfeoH1CaJp45xdW68,0TAIXFfeoH1CaJp45xdW68,ジャワの汗,Jordan Shand,7
spotify:playlist:4FAARFt7jobvmVDQmuwXtK,4FAARFt7jobvmVDQmuwXtK,ヘッドバンガー,Jordan Shand,10
spotify:playlist:1SfQYPtBBjKo9gURpK8BPN,1SfQYPtBBjKo9gURpK8BPN,lock.in,Jordan Shand,43
spotify:playlist:5VoDa3S71EjQ8jEc5ZU2Dr,5VoDa3S71EjQ8jEc5ZU2Dr,🎫💨,Jordan Shand,47
spotify:playlist:6GByUVYOUXToWT4FsuUotu,6GByUVYOUXToWT4FsuUotu,countrypotato,Jordan Shand,137
spotify:playlist:3FLxDU2YrM8m858t9RGqHQ,3FLxDU2YrM8m858t9RGqHQ,liberation,Jordan Shand,4
spotify:playlist:3dsXSlfnXNMexXTAxQ6cAG,3dsXSlfnXNMexXTAxQ6cAG,spirit of the drums liberating the soul,Jordan Shand,22
spotify:playlist:4WujDffLAf726mw7s3Mzzh,4WujDffLAf726mw7s3Mzzh,afrobeats,Jordan Shand,33
spotify:playlist:6o54k7IYCBUaVLtILpO8aJ,6o54k7IYCBUaVLtILpO8aJ,motherland,Jordan Shand,22
spotify:playlist:46e8AfcNWZdbEttuzXQudH,46e8AfcNWZdbEttuzXQudH,crying.during.sex.trap.house,Jordan Shand,77
spotify:playlist:591KlXFmbxneftwd1N1ESt,591KlXFmbxneftwd1N1ESt,where.are.you.goin,Jordan Shand,80
spotify:playlist:1soDO9vxzQvuKICUELsp2Y,1soDO9vxzQvuKICUELsp2Y,logos.sphere,Jordan Shand,67
spotify:playlist:29aUxIpRveabBLVKDMwe3u,29aUxIpRveabBLVKDMwe3u,meds,Jordan Shand,43
spotify:playlist:4RHHBrCu0YetRS5mX2hNrc,4RHHBrCu0YetRS5mX2hNrc,bøunce.clöb,Jordan Shand,68
spotify:playlist:70RNxDsusOxG4TU7c9oejS,70RNxDsusOxG4TU7c9oejS,5.place.tapes,Jordan Shand,67
spotify:playlist:1YX6xP9lRGTk3033Jhuqy0,1YX6xP9lRGTk3033Jhuqy0,smellya,Jordan Shand,122
spotify:playlist:2AOvfwAC5xc2BGJrgWdjso,2AOvfwAC5xc2BGJrgWdjso,parking.lot.bops,Jordan Shand,42
