uri,id,name,owner,total
spotify:playlist:48ex7Ws9O1asLvr6ETuEqk,48ex7Ws9O1asLvr6ETuEqk,hey there,Jordan Shand,43
spotify:playlist:4vcyvVu3ke8MUY0kOAVXj5,4vcyvVu3ke8MUY0kOAVXj5,J$hand,Jordan Shand,38
spotify:playlist:5nk1OvcSkzadWcOJKE8eUv,5nk1OvcSkzadWcOJKE8eUv,Starred,Jordan Shand,22
spotify:playlist:6rz7TGW0ay9t3O4cGWfqTj,6rz7TGW0ay9t3O4cGWfqTj,Inspiration,Jordan Shand,42
spotify:playlist:4iXIFYa7fT8mef8QwThIVV,4iXIFYa7fT8mef8QwThIVV,party,Jordan Shand,0
spotify:playlist:5QbGsd6qPO0ItyBN0chvXF,5QbGsd6qPO0ItyBN0chvXF,🔥🔥,Jordan Shand,19
spotify:playlist:2wEjhzRv8U8AQevmZA8HEV,2wEjhzRv8U8AQevmZA8HEV,workout,Jordan Shand,28
spotify:playlist:0vL4DBDYbGtBMva829zPnA,0vL4DBDYbGtBMva829zPnA,hello peeps,Jordan Shand,34
spotify:playlist:2NoR0KhNZ8oZnC3HoNt2FV,2NoR0KhNZ8oZnC3HoNt2FV,Hip-Hop and Play,PlayStation®️,667
spotify:playlist:5T3GEvHcXP4dV1NEtPEuRQ,5T3GEvHcXP4dV1NEtPEuRQ,JAY Z - Niggas In Paris,anettekezia,50
spotify:playlist:6oKkdiLulexbU9RyM40uX1,6oKkdiLulexbU9RyM40uX1,hola,Jordan Shand,20
spotify:playlist:40HnlnjSqVJdhzENuOsEbD,40HnlnjSqVJdhzENuOsEbD,hi,Jordan Shand,19
spotify:playlist:4ljgbWGnKLDIEqBj6vYrtD,4ljgbWGnKLDIEqBj6vYrtD,plop,Jordan Shand,30
spotify:playlist:0MrcpGdZ3jooTr5n8B99Do,0MrcpGdZ3jooTr5n8B99Do,peepee,Jordan Shand,21
spotify:playlist:5g0PbSOCfRE2e0LVdrGf8H,5g0PbSOCfRE2e0LVdrGf8H,Poop,Jordan Shand,36
spotify:playlist:4tEMtdvUKQ3pkKhOiEBObm,4tEMtdvUKQ3pkKhOiEBObm,JS,Jordan Shand,14
spotify:playlist:7D2t2SB9mHII8Z4jpU0kvS,7D2t2SB9mHII8Z4jpU0kvS,Sad/soul,Jordan Shand,8
